time,emg1,emg2,label
1776066720.752373,10,16,1
1776066720.752854,14,18,1
1776066720.7568786,16,24,1
1776066720.7576993,18,24,1
1776066720.759707,20,28,1
1776066720.762121,20,28,1
1776066720.762121,20,30,1
1776066720.7652094,20,30,1
1776066720.7652094,22,30,1
1776066720.87461,22,32,1
1776066720.87461,22,34,1
1776066720.87461,24,34,1
1776066720.87461,24,36,1
1776066720.87461,24,36,1
1776066720.87461,24,38,1
1776066720.87461,24,40,1
1776066720.87461,24,42,1
1776066720.87461,26,44,1
1776066720.87461,26,46,1
1776066720.87461,26,46,1
1776066720.87461,26,46,1
1776066720.87461,26,46,1
1776066720.87461,26,48,1
1776066720.87461,26,48,1
1776066720.87461,26,50,1
1776066720.87461,28,50,1
1776066720.87461,28,52,1
1776066720.87461,28,54,1
1776066720.87461,28,56,1
1776066720.87461,28,56,1
1776066720.87461,28,56,1
1776066720.87461,28,56,1
1776066720.8902354,28,58,1
1776066720.8915653,28,58,1
1776066720.8915653,28,58,1
1776066720.8926888,30,60,1
1776066720.893338,30,62,1
1776066720.893338,30,64,1
1776066720.893338,30,66,1
1776066720.8954096,30,66,1
1776066720.8968258,32,66,1
1776066720.8968258,32,66,1
1776066720.897411,32,70,1
1776066720.897411,32,70,1
1776066720.8984182,32,74,1
1776066720.8984182,32,74,1
1776066720.9012847,32,78,1
1776066720.9032915,34,78,1
1776066720.9056206,34,80,1
1776066720.906744,34,80,1
1776066720.906744,34,82,1
1776066720.906744,34,84,1
1776066720.9087522,34,86,1
1776066720.9092462,36,90,1
1776066720.9092462,36,90,1
1776066720.9092462,36,92,1
1776066720.9092462,36,94,1
1776066720.9092462,36,96,1
1776066720.9092462,36,96,1
1776066720.9092462,36,100,1
1776066720.9092462,34,100,1
1776066720.9112523,32,98,1
1776066720.9112523,32,102,1
1776066720.9112523,28,98,1
1776066720.9112523,26,96,1
1776066720.9112523,22,94,1
1776066720.9112523,20,94,1
1776066720.9112523,18,94,1
1776066720.9112523,18,96,1
1776066720.9112523,18,98,1
1776066720.9137707,18,96,1
1776066720.9137707,18,98,1
1776066720.9137707,16,100,1
1776066720.9137707,16,100,1
1776066720.915442,16,102,1
1776066720.915442,16,102,1
1776066720.915442,16,102,1
1776066720.915442,16,102,1
1776066720.915442,16,104,1
1776066720.915442,16,104,1
1776066720.915442,16,102,1
1776066720.915442,14,100,1
1776066720.915442,16,100,1
1776066720.915442,14,100,1
1776066720.919806,16,102,1
1776066720.9218173,16,102,1
1776066720.9235637,16,104,1
1776066720.9255724,16,104,1
1776066720.9255724,16,106,1
1776066720.929371,16,108,1
1776066720.933387,16,106,1
1776066720.933387,14,108,1
1776066720.938468,14,108,1
1776066720.939978,14,110,1
1776066720.9418502,16,114,1
1776066720.9418502,16,114,1
1776066720.9438696,16,118,1
1776066720.9481506,16,120,1
1776066720.9499032,16,122,1
1776066720.9499032,16,122,1
1776066720.9550302,16,120,1
1776066720.9562445,16,118,1
1776066720.9567685,16,120,1
1776066720.9591992,16,122,1
1776066720.9612076,16,122,1
1776066720.9621835,16,122,1
1776066720.9621835,16,122,1
1776066720.9621835,16,120,1
1776066720.9722295,16,122,1
1776066720.9742393,16,122,1
1776066720.9750402,16,120,1
1776066720.9750402,16,120,1
1776066720.977048,16,122,1
1776066720.977048,18,120,1
1776066720.9814918,18,122,1
1776066720.9814918,18,122,1
1776066720.9814918,18,122,1
1776066720.9900506,18,122,1
1776066720.9905727,18,122,1
1776066720.9916728,18,122,1
1776066720.993198,18,122,1
1776066720.993198,18,120,1
1776066720.9964366,18,122,1
1776066720.9964366,18,120,1
1776066720.9964366,18,118,1
1776066721.0091293,20,116,1
1776066721.0091293,20,114,1
1776066721.0101361,20,114,1
1776066721.0101361,20,112,1
1776066721.0106666,20,112,1
1776066721.0106666,20,106,1
1776066721.0106666,20,106,1
1776066721.0164087,22,104,1
1776066721.0253317,22,102,1
1776066721.0253317,22,104,1
1776066721.0253317,24,102,1
1776066721.0265326,24,102,1
1776066721.0265326,24,102,1
1776066721.0286958,24,102,1
1776066721.0286958,24,102,1
1776066721.0325358,24,100,1
1776066721.0346153,24,100,1
1776066721.0408652,24,98,1
1776066721.0408652,24,98,1
1776066721.0408652,24,98,1
1776066721.0426242,24,98,1
1776066721.0426242,24,98,1
1776066721.0426242,24,96,1
1776066721.048306,24,96,1
1776066721.050852,24,96,1
1776066721.057373,24,94,1
1776066721.057373,24,94,1
1776066721.057373,24,92,1
1776066721.058711,24,92,1
1776066721.0601594,24,92,1
1776066721.063493,24,88,1
1776066721.0654225,24,88,1
1776066721.0671892,24,86,1
1776066721.071784,24,84,1
1776066721.071784,24,84,1
1776066721.0737922,24,80,1
1776066721.0737922,24,80,1
1776066721.0764847,24,80,1
1776066721.0764847,24,78,1
1776066721.0764847,24,80,1
1776066721.0818636,24,80,1
1776066721.0838747,24,80,1
1776066721.085779,24,78,1
1776066721.0883908,24,78,1
1776066721.0883908,24,78,1
1776066721.0930274,24,78,1
1776066721.0930274,22,78,1
1776066721.0930274,22,78,1
1776066721.0930274,24,76,1
1776066721.1003172,24,80,1
1776066721.1028035,24,78,1
1776066721.1034195,24,78,1
1776066721.1034195,24,80,1
1776066721.1086104,24,78,1
1776066721.1092181,24,78,1
1776066721.1092181,22,76,1
1776066721.1092181,22,76,1
1776066721.1168628,22,76,1
1776066721.1186156,24,74,1
1776066721.1209626,24,76,1
1776066721.1209626,24,76,1
1776066721.1248682,24,78,1
1776066721.1268682,24,78,1
1776066721.1268682,24,80,1
1776066721.1268682,22,80,1
1776066721.1328912,22,80,1
1776066721.1348937,22,78,1
1776066721.1374285,22,80,1
1776066721.1374285,22,80,1
1776066721.1408923,22,82,1
1776066721.1428924,22,84,1
1776066721.1428924,22,84,1
1776066721.1468918,22,84,1
1776066721.1489236,22,84,1
1776066721.1502886,22,84,1
1776066721.1502886,22,82,1
1776066721.1564476,22,82,1
1776066721.1567762,22,80,1
1776066721.1590981,22,82,1
1776066721.1590981,20,84,1
1776066721.162719,22,84,1
1776066721.1651022,20,86,1
1776066721.165486,22,86,1
1776066721.174057,22,90,1
1776066721.174057,22,90,1
1776066721.174057,22,90,1
1776066721.174057,22,92,1
1776066721.174057,22,92,1
1776066721.174057,22,94,1
1776066721.1807811,22,96,1
1776066721.1831918,22,98,1
1776066721.1831918,22,100,1
1776066721.1878421,22,98,1
1776066721.1896737,24,100,1
1776066721.1912396,24,102,1
1776066721.1930692,24,100,1
1776066721.1930692,24,100,1
1776066721.1968665,24,100,1
1776066721.1993182,24,100,1
1776066721.1993182,24,102,1
1776066721.1993182,24,102,1
1776066721.2042634,24,102,1
1776066721.207057,24,102,1
1776066721.2093942,24,102,1
1776066721.2093942,24,102,1
1776066721.213106,24,100,1
1776066721.2154334,24,100,1
1776066721.217097,24,102,1
1776066721.2186618,24,102,1
1776066721.2186618,24,104,1
1776066721.223422,24,104,1
1776066721.2254848,24,106,1
1776066721.2274363,24,106,1
1776066721.2274363,26,108,1
1776066721.2312887,24,106,1
1776066721.2334173,24,104,1
1776066721.235122,24,104,1
1776066721.2369058,24,102,1
1776066721.239364,24,102,1
1776066721.2411137,24,104,1
1776066721.2431464,24,102,1
1776066721.2450867,24,102,1
1776066721.2473814,24,102,1
1776066721.2491465,24,102,1
1776066721.2491465,24,102,1
1776066721.2491465,24,100,1
1776066721.2559428,24,100,1
1776066721.2579505,24,100,1
1776066721.2590199,24,100,1
1776066721.2594068,24,104,1
